,URL,NAME,UPC,PRICE,IMG,DES,CAT
10,https://super.walmart.com.mx/cafe-te-y-sustitutos/cafe-molido-atoyac-americano-tostado-1-kg/00074654000016,Café molido Atoyac americano tostado 1 kg,74654000016,69.00,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00074654000016L.jpg","Café molido Atoyac americano, tostado artesanalmente, obteniendo así el mejor aroma y gran sabor del café natural.",cafe-te-y-sustitutos
11,https://super.walmart.com.mx/cafe-te-y-sustitutos/cafe-molido-la-finca-descafeinado-340-g/00068103400019,Café molido La Finca descafeinado 340 g,68103400019,78.50,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00068103400019L.jpg","Para esos días en los que se te antoja despertar con una deliciosa taza de café con leche, te presentamos el café molido La Finca de 340 gramos, un producto gourmet de altura, 100% arábiga y de Chiapas México. Podrás disfrutarlo como más te guste y en cualquier momento del día, ya sea con algún digestivo o como café helado y sin preocuparte por si te no te dejará dormir en la noche, pues es un café descafeinado. Te invitamos a conocer los distintos tipos de café que tenemos para ti, elige el que más te guste y nosotros lo llevamos a la puerta de tu hogar. Compra fácil y seguro en Walmart.com.mx.",cafe-te-y-sustitutos
12,https://super.walmart.com.mx/cafe-te-y-sustitutos/cafe-molido-legal-en-grano-con-azucar-400-g/00750105241132,Café molido Legal en grano con azúcar 400 g,750105241132,47.50,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750105241132L.jpg","Disfruta de la más rica y antigua tradición mexicana ya sea solo, con un amigo, en pareja o acompañado de tu familia, café legal de grano es la opción perfecta para disfrutar cada momento del día, su inigualable sabor y delicioso aroma harán que las mejores experiencias sean con una taza de café con un ligero toque de canela.Café legal ofrece un sabor profundo y fuerte en cada taza, lo que lo ha convertido en la marca de café más querida y popular en México por generaciones.Los momentos más cálidos se disfrutan con los seres queridos, acompañado siempre de ese delicioso aroma de Café Legal de grano. “Calidez familiar al mejor precio”.  Ahora ya puedes solicitar tu despensa a domicilio en Walmart.com.mx y hacer las compras y así poder surtir tu súper en línea desde la comodidad de tu hogar.",cafe-te-y-sustitutos
13,https://super.walmart.com.mx/cafe-te-y-sustitutos/cafe-molido-garat-americano-regular-1-kg/00750105241902,Café molido Garat americano regular 1 kg,750105241902,199.00,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750105241902L.jpg","Con el tostado y molido regular en su presentación americano obtendrás eso que necesitas para disfrutar y compartir tu día. Café Garat es el resultado de una cuidadosa selección de granos gourmet de las principales regiones cafetaleras de México: Chiapas, Veracruz y Oaxaca. Su nivel de tueste y molido hacen de este un café con el balance ideal de aroma, sabor y cuerpo, características que lo hacen único.Adquiérelo en su presentación de un 1 kg, además con su bolsa resellable podrás guardar toda la frescura de Garat, como si recién lo hubieras abierto por primera vez. Certificación Kosher.Realiza todas tus compras en línea desde la comodidad de tu hogar en Walmart.com.mx y recibir tus artículos con el servicio a domicilio a tan solo unos clics de distancia. ¡Precios bajos todos los días!",cafe-te-y-sustitutos
14,https://super.walmart.com.mx/cafe-te-y-sustitutos/cafe-molido-tresso-arabico-endulzado-con-piloncillo-400-g/00750046359195,Café molido Tresso arábico endulzado con piloncillo 400 g,750046359195,120.00,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750046359195L.jpg","Café 100% arábico endulzado naturalmente con piloncillo. Los dos elementos que conforman este producto son café 100% arábica y piloncillo (endulzante 100% natural obtenido de la caña de azúcar). Se cultivan y procesas en Huatusco, Veracruz, siendo los productos agrícolas más distinguidos de esta región por su producción y sabor. Es una forma 100% natural de disfrutar de tu café TRESSO® endulzado, libre de saborizantes artificiales. Recomendamos su preparación como el clásico café de olla, cafetera convencional o prensa francesa. Puedes elegir tu forma favorita de prepararlo ya que es 100% natural.Disfruta del extenso catálogo y los excelentes precios que ofrecemos en productos de abarrotes entrando a Walmart.com.mx. ¡Haz tus compras con tan solo unos cuantos clics!",cafe-te-y-sustitutos
15,https://super.walmart.com.mx/cafe-te-y-sustitutos/cafe-santa-fe-tostado-molido-chiapas-300-g/00750143000347,Café Santa Fe tostado molido Chiapas 300 g,750143000347,94.50,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750143000347L.jpg","Procura que en tu próxima lista del súper no te falten los productos que tanto te gustan y necesitas tener en tu despensa. Compra en Walmart en línea el café de la marca Santa Fe. Disfruta de un rico café en compañía de tus amigos o de tu familia. Santa Fe busca enaltecer a esas regiones emblemáticas de la cultura del café en México con estas nuevas presentaciones, para hacerlas únicas, se trabajó en conjunto con ilustradores y artistas mexicanos, a través de elementos característicos se hace un homenaje a estas regiones que día a día enamoran a los consumidores de café con sus sabores únicos y aromas inigualables. Chiapas, uno de los estados conocidos por la excelencia de su café, además de ser el primer estado en cultivarlo en México. Santa Fe trae para ti lo mejor de Chiapas, perfil de taza equilibrado, aroma a cedro y granos secos, notas a chocolate, caramelo y miel. Tueste regular alto.En super.walmart.com.mx tenemos los abarrotes que buscas y que no pueden faltar en tu despensa. Cómpralos en línea y recíbelos en la comodidad de tu hogar.",cafe-te-y-sustitutos
16,https://super.walmart.com.mx/cafe-te-y-sustitutos/te-de-manzanilla-la-pastora-20-sobres/00008614100251,Té de manzanilla La Pastora 20 sobres,8614100251,12.00,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00008614100251L.jpg",Té La Pastora manzanilla. 100% natural. Certificación Kosher.,cafe-te-y-sustitutos
17,https://super.walmart.com.mx/cafe-te-y-sustitutos/te-twinings-voyage-estilo-indian-chai-25-sobres/00750222377114,Té Twinings Voyage estilo indian chai 25 sobres,750222377114,79.00,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750222377114L.jpg","Disfruta todos los beneficios del té, con un delicioso sabor, gracias al té chai estilo indio que Twinings te ofrece a través de Walmart en línea. No hay nada más reconfortante que una taza de té caliente durante las tardes nubladas y lluviosas. Y este té negro con especias es una excelente opción. Combínalo con leche para una cremosa bebida, o agrega hielo y refréscate con un té helado. Todos los tipos de té que necesitas están a un clic de distancia, entrando a Walmart.com.mx. Haz tu pedido en línea y lo llevamos a tu domicilio.",cafe-te-y-sustitutos
18,https://super.walmart.com.mx/cafe-te-y-sustitutos/te-therbal-jengibre-25-sobres-de-1-5-g-c-u/00750109054319,Té Therbal jengibre 25 sobres de 1.5 g c/u,750109054319,15.50,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750109054319L.jpg","Tomate un descanso o relaja tu cuerpo con una bebida caliente cuando más lo necesites, Therbal tiene para ti las hierbas para infusión Jengibre, un sabor natural que te encantará, disponible en esta presentación en caja con 25 sobres de 1.5 g c/u, prepara fácilmente y si deseas endulza con un poco de miel, azúcar o endulzante de mesa. Ya puedes hacer tus compras en línea desde la comodidad de tu hogar en Walmart.com.mx y recibir tu despensa a domicilio completa con tan solo unos cuantos clics desde tu celular o computadora.",cafe-te-y-sustitutos
19,https://super.walmart.com.mx/cafe-te-y-sustitutos/te-negro-twinings-4-frutas-rojas-25-pzas-de-2-g-c-u/00750222377111,Té negro Twinings 4 frutas rojas 25 pzas de 2 g c/u,750222377111,36.00,"https://res.cloudinary.com/walmart-labs/image/upload/w_960,dpr_auto,f_auto,q_auto:best/gr/images/product-images/img_large/00750222377111L.jpg",Disfruta todos los beneficios con el té negro de la marca Twinings 4 frutas rojas que tenemos en presentación de 25 piezas de 2 gramos cada una. Prepárate una deliciosa taza de té caliente o si lo prefieres puedes disfrutar de un refrescante té helado. Disfruta todas las propiedades del té negro con este té Twinings que tenemos en la tienda en línea de Walmart.com.mx y disfruta el servicio a domicilio disponible para ti sin salir de casa.,cafe-te-y-sustitutos
